case_id,customer_type,case_description,category,priority,assigned_team,status,submission_date,sla_days,resolution_notes
CASE-0065,Small Business,Urgent compliance case: legal review requested for a suspicious claim.,Compliance/Fraud,High,Compliance Team,In Progress,2026-06-22,3,Closed after synthetic validation and customer notification.
CASE-0066,Public Body,Failed card payment caused an incorrect charge to appear twice.,Payment Issue,Medium,Payments Team,Closed,2026-06-15,7,Closed after synthetic review; no real customer data used.
CASE-0067,Individual,Missing document: customer needs to upload proof for a recent application.,Missing Documents,Low,Customer Support,In Progress,2026-04-17,14,Routed to specialist team for review.
CASE-0068,Agent,Refund delay after a repayment calculation was corrected.,Refund,Medium,Refunds Team,In Progress,2026-04-07,7,Routed to specialist team for review.
CASE-0069,Small Business,Supporting evidence is incomplete and a required form is missing.,Missing Documents,Low,Customer Support,Escalated,2026-06-04,14,
CASE-0070,Agent,Supporting evidence is incomplete and a required form is missing.,Missing Documents,Low,Customer Support,New,2026-05-11,14,Closed after synthetic validation and customer notification.
CASE-0071,Individual,Compliance review requested because the claim may contain a false declaration.,Compliance/Fraud,High,Compliance Team,Closed,2026-05-21,3,Closed after synthetic review; no real customer data used.
CASE-0072,Individual,Customer reports a refund delay after an overpayment adjustment.,Refund,Medium,Refunds Team,In Progress,2026-05-03,7,Routed to specialist team for review.
CASE-0073,Small Business,"Payment failed during online checkout, but the balance still appears due.",Payment Issue,Medium,Payments Team,New,2026-04-23,7,
CASE-0074,Agent,Agent asks whether a letter was received and how to provide an attachment.,Missing Documents,Low,Customer Support,New,2026-03-10,14,
CASE-0075,Agent,General query about how to update account contact details.,General Query,Low,Customer Support,In Progress,2026-06-10,14,Routed to specialist team for review.
CASE-0076,Public Body,Customer provided documents but one attachment cannot be opened.,Missing Documents,Low,Customer Support,Escalated,2026-03-19,14,
CASE-0077,Agent,General query about how to update account contact details.,General Query,Low,Customer Support,Escalated,2026-03-03,14,
CASE-0078,Small Business,Direct debit was declined and the customer needs the payment issue reviewed.,Payment Issue,Medium,Payments Team,New,2026-03-09,7,Routed to specialist team for review.
CASE-0079,Agent,Supporting evidence is incomplete and a required form is missing.,Missing Documents,Low,Customer Support,In Progress,2026-05-25,14,Closed after synthetic validation and customer notification.
CASE-0080,Public Body,Case is overdue and may involve a duplicate refund request.,Compliance/Fraud,High,Compliance Team,Escalated,2026-04-04,3,
CASE-0081,Individual,Customer cannot find the upload link for requested evidence.,Missing Documents,Low,Customer Support,Closed,2026-05-29,14,Closed after synthetic review; no real customer data used.
CASE-0082,Individual,"Payment failed during online checkout, but the balance still appears due.",Payment Issue,Medium,Payments Team,In Progress,2026-04-10,7,
CASE-0083,Agent,Customer reports a refund delay after an overpayment adjustment.,Refund,Medium,Refunds Team,Closed,2026-05-19,7,Closed after synthetic review; no real customer data used.
CASE-0084,Charity,Urgent compliance case: legal review requested for a suspicious claim.,Compliance/Fraud,High,Compliance Team,In Progress,2026-03-28,3,Closed after synthetic validation and customer notification.
CASE-0085,Small Business,General question about service hours and expected response times.,General Query,Low,Customer Support,New,2026-06-29,14,Closed after synthetic validation and customer notification.
CASE-0086,Public Body,General question about service hours and expected response times.,General Query,Low,Customer Support,Closed,2026-06-26,14,Closed after synthetic review; no real customer data used.
CASE-0087,Agent,General question about service hours and expected response times.,General Query,Low,Customer Support,In Progress,2026-06-12,14,
CASE-0088,Individual,Agent asks whether a letter was received and how to provide an attachment.,Missing Documents,Low,Customer Support,Closed,2026-03-07,14,Closed after synthetic review; no real customer data used.
CASE-0089,Individual,Agent asks whether a letter was received and how to provide an attachment.,Missing Documents,Low,Customer Support,Escalated,2026-06-04,14,Closed after synthetic validation and customer notification.
CASE-0090,Charity,Agent asks whether a letter was received and how to provide an attachment.,Missing Documents,Low,Customer Support,In Progress,2026-03-23,14,Escalated due to SLA risk and case complexity.
CASE-0091,Small Business,Customer provided documents but one attachment cannot be opened.,Missing Documents,Low,Customer Support,New,2026-03-27,14,
CASE-0092,Agent,Urgent compliance case: legal review requested for a suspicious claim.,Compliance/Fraud,High,Compliance Team,In Progress,2026-03-10,3,
CASE-0093,Small Business,Refund delay after a repayment calculation was corrected.,Refund,Medium,Refunds Team,Escalated,2026-03-20,7,Closed after synthetic validation and customer notification.
CASE-0094,Individual,Supporting evidence is incomplete and a required form is missing.,Missing Documents,Low,Customer Support,Closed,2026-06-10,14,Closed after synthetic review; no real customer data used.
CASE-0095,Small Business,Failed card payment caused an incorrect charge to appear twice.,Payment Issue,Medium,Payments Team,New,2026-03-11,7,Initial checks completed; awaiting customer response.
CASE-0096,Agent,Case is overdue and may involve a duplicate refund request.,Compliance/Fraud,High,Compliance Team,Closed,2026-03-18,3,Closed after synthetic review; no real customer data used.
CASE-0097,Small Business,General query about how to update account contact details.,General Query,Low,Customer Support,Closed,2026-03-17,14,Closed after synthetic review; no real customer data used.
CASE-0098,Agent,Missing document: customer needs to upload proof for a recent application.,Missing Documents,Low,Customer Support,Escalated,2026-06-27,14,Initial checks completed; awaiting customer response.
CASE-0099,Agent,Supporting evidence is incomplete and a required form is missing.,Missing Documents,Low,Customer Support,New,2026-03-12,14,Escalated due to SLA risk and case complexity.
CASE-0100,Public Body,Agent asks whether a letter was received and how to provide an attachment.,Missing Documents,Low,Customer Support,In Progress,2026-04-09,14,Closed after synthetic validation and customer notification.
CASE-0101,Small Business,Customer asks for guidance about a deadline and available support options.,General Query,Low,Customer Support,New,2026-03-02,14,
CASE-0102,Charity,Payment issue: bank transfer reference was entered incorrectly.,Payment Issue,Medium,Payments Team,New,2026-05-28,7,Routed to specialist team for review.
CASE-0103,Charity,Agent asks whether a letter was received and how to provide an attachment.,Missing Documents,Low,Customer Support,Closed,2026-03-29,14,Closed after synthetic review; no real customer data used.
CASE-0104,Small Business,Customer provided documents but one attachment cannot be opened.,Missing Documents,Low,Customer Support,New,2026-04-26,14,Routed to specialist team for review.
CASE-0105,Public Body,Supporting evidence is incomplete and a required form is missing.,Missing Documents,Low,Customer Support,Escalated,2026-06-25,14,
CASE-0106,Small Business,General question about service hours and expected response times.,General Query,Low,Customer Support,Escalated,2026-04-04,14,Closed after synthetic validation and customer notification.
CASE-0107,Agent,Agent asks whether a letter was received and how to provide an attachment.,Missing Documents,Low,Customer Support,New,2026-05-06,14,Closed after synthetic validation and customer notification.
CASE-0108,Agent,Customer provided documents but one attachment cannot be opened.,Missing Documents,Low,Customer Support,Escalated,2026-05-21,14,
CASE-0109,Charity,Urgent legal concern about suspicious changes to a submitted case.,Compliance/Fraud,High,Compliance Team,Escalated,2026-05-22,3,
CASE-0110,Charity,General query about how to update account contact details.,General Query,Low,Customer Support,New,2026-04-21,14,Initial checks completed; awaiting customer response.
CASE-0111,Public Body,Urgent compliance case: legal review requested for a suspicious claim.,Compliance/Fraud,High,Compliance Team,In Progress,2026-04-13,3,Initial checks completed; awaiting customer response.
CASE-0112,Public Body,Customer reports a refund delay after an overpayment adjustment.,Refund,Medium,Refunds Team,In Progress,2026-05-23,7,Initial checks completed; awaiting customer response.
CASE-0113,Charity,Customer provided documents but one attachment cannot be opened.,Missing Documents,Low,Customer Support,In Progress,2026-04-08,14,Initial checks completed; awaiting customer response.
CASE-0114,Small Business,Case is overdue and may involve a duplicate refund request.,Compliance/Fraud,High,Compliance Team,In Progress,2026-04-26,3,Escalated due to SLA risk and case complexity.
CASE-0115,Public Body,"Payment failed during online checkout, but the balance still appears due.",Payment Issue,Medium,Payments Team,In Progress,2026-05-25,7,Closed after synthetic validation and customer notification.
CASE-0116,Small Business,Customer asks for guidance about a deadline and available support options.,General Query,Low,Customer Support,Closed,2026-06-19,14,Closed after synthetic review; no real customer data used.
CASE-0117,Small Business,General query about how to update account contact details.,General Query,Low,Customer Support,Closed,2026-06-02,14,Closed after synthetic review; no real customer data used.
CASE-0118,Public Body,Customer reports a refund delay after an overpayment adjustment.,Refund,Medium,Refunds Team,New,2026-06-25,7,Initial checks completed; awaiting customer response.
CASE-0119,Public Body,"Payment failed during online checkout, but the balance still appears due.",Payment Issue,Medium,Payments Team,In Progress,2026-05-03,7,Closed after synthetic validation and customer notification.
CASE-0120,Charity,Case is overdue and may involve a duplicate refund request.,Compliance/Fraud,High,Compliance Team,Escalated,2026-03-31,3,Initial checks completed; awaiting customer response.
CASE-0121,Individual,Missing document: customer needs to upload proof for a recent application.,Missing Documents,Low,Customer Support,Escalated,2026-06-12,14,
CASE-0122,Public Body,Refund delay after a repayment calculation was corrected.,Refund,Medium,Refunds Team,New,2026-06-02,7,Closed after synthetic validation and customer notification.
CASE-0123,Individual,Compliance review requested because the claim may contain a false declaration.,Compliance/Fraud,High,Compliance Team,In Progress,2026-06-24,3,Escalated due to SLA risk and case complexity.
CASE-0124,Public Body,Compliance review requested because the claim may contain a false declaration.,Compliance/Fraud,High,Compliance Team,Closed,2026-06-13,3,Closed after synthetic review; no real customer data used.
CASE-0125,Charity,General question about service hours and expected response times.,General Query,Low,Customer Support,In Progress,2026-04-15,14,Escalated due to SLA risk and case complexity.
CASE-0126,Charity,Customer provided documents but one attachment cannot be opened.,Missing Documents,Low,Customer Support,Escalated,2026-03-18,14,Routed to specialist team for review.
CASE-0127,Charity,General question about service hours and expected response times.,General Query,Low,Customer Support,Closed,2026-05-04,14,Closed after synthetic review; no real customer data used.
CASE-0128,Agent,Compliance review requested because the claim may contain a false declaration.,Compliance/Fraud,High,Compliance Team,Closed,2026-05-28,3,Closed after synthetic review; no real customer data used.
CASE-0129,Charity,Urgent legal concern about suspicious changes to a submitted case.,Compliance/Fraud,High,Compliance Team,In Progress,2026-04-29,3,
CASE-0130,Agent,"Payment failed during online checkout, but the balance still appears due.",Payment Issue,Medium,Payments Team,In Progress,2026-03-31,7,
CASE-0131,Small Business,Customer asks for guidance about a deadline and available support options.,General Query,Low,Customer Support,In Progress,2026-03-08,14,
CASE-0132,Small Business,Missing document: customer needs to upload proof for a recent application.,Missing Documents,Low,Customer Support,Escalated,2026-05-12,14,Closed after synthetic validation and customer notification.
CASE-0133,Charity,"Payment failed during online checkout, but the balance still appears due.",Payment Issue,Medium,Payments Team,In Progress,2026-05-08,7,Routed to specialist team for review.
CASE-0134,Charity,Refund delay after a repayment calculation was corrected.,Refund,Medium,Refunds Team,New,2026-06-23,7,Initial checks completed; awaiting customer response.
CASE-0135,Public Body,Payment issue: bank transfer reference was entered incorrectly.,Payment Issue,Medium,Payments Team,New,2026-04-02,7,Escalated due to SLA risk and case complexity.
CASE-0136,Agent,Failed card payment caused an incorrect charge to appear twice.,Payment Issue,Medium,Payments Team,New,2026-04-30,7,
CASE-0137,Charity,Failed card payment caused an incorrect charge to appear twice.,Payment Issue,Medium,Payments Team,Closed,2026-03-13,7,Closed after synthetic review; no real customer data used.
CASE-0138,Public Body,General question about service hours and expected response times.,General Query,Low,Customer Support,Escalated,2026-03-27,14,Escalated due to SLA risk and case complexity.
CASE-0139,Charity,Missing document: customer needs to upload proof for a recent application.,Missing Documents,Low,Customer Support,New,2026-04-29,14,Initial checks completed; awaiting customer response.
CASE-0140,Charity,Customer reports a refund delay after an overpayment adjustment.,Refund,Medium,Refunds Team,In Progress,2026-05-12,7,Closed after synthetic validation and customer notification.
CASE-0141,Public Body,Urgent compliance case: legal review requested for a suspicious claim.,Compliance/Fraud,High,Compliance Team,In Progress,2026-03-15,3,
CASE-0142,Public Body,General question about service hours and expected response times.,General Query,Low,Customer Support,Closed,2026-06-27,14,Closed after synthetic review; no real customer data used.
CASE-0143,Charity,Payment issue: bank transfer reference was entered incorrectly.,Payment Issue,Medium,Payments Team,New,2026-04-07,7,Closed after synthetic validation and customer notification.
CASE-0144,Agent,Possible duplicate claim submitted with suspicious supporting details.,Compliance/Fraud,High,Compliance Team,In Progress,2026-03-12,3,
CASE-0145,Agent,Failed card payment caused an incorrect charge to appear twice.,Payment Issue,Medium,Payments Team,New,2026-05-20,7,
CASE-0146,Charity,Failed card payment caused an incorrect charge to appear twice.,Payment Issue,Medium,Payments Team,Closed,2026-05-26,7,Closed after synthetic review; no real customer data used.
CASE-0147,Public Body,Supporting evidence is incomplete and a required form is missing.,Missing Documents,Low,Customer Support,New,2026-03-16,14,
CASE-0148,Individual,A refund appears to have been approved but has not reached the account.,Refund,Medium,Refunds Team,New,2026-05-17,7,
CASE-0149,Public Body,Customer reports a refund delay after an overpayment adjustment.,Refund,Medium,Refunds Team,New,2026-05-30,7,
CASE-0150,Individual,Possible duplicate claim submitted with suspicious supporting details.,Compliance/Fraud,High,Compliance Team,New,2026-05-31,3,Closed after synthetic validation and customer notification.
CASE-0151,Agent,Payment issue: bank transfer reference was entered incorrectly.,Payment Issue,Medium,Payments Team,In Progress,2026-06-03,7,
CASE-0152,Individual,Urgent compliance case: legal review requested for a suspicious claim.,Compliance/Fraud,High,Compliance Team,In Progress,2026-04-14,3,Closed after synthetic validation and customer notification.
CASE-0153,Agent,Urgent compliance case: legal review requested for a suspicious claim.,Compliance/Fraud,High,Compliance Team,New,2026-05-22,3,
CASE-0154,Charity,Payment issue: bank transfer reference was entered incorrectly.,Payment Issue,Medium,Payments Team,Closed,2026-04-05,7,Closed after synthetic review; no real customer data used.
CASE-0155,Public Body,Failed card payment caused an incorrect charge to appear twice.,Payment Issue,Medium,Payments Team,Escalated,2026-03-02,7,
CASE-0156,Public Body,Missing document: customer needs to upload proof for a recent application.,Missing Documents,Low,Customer Support,Escalated,2026-06-17,14,
CASE-0157,Individual,Direct debit was declined and the customer needs the payment issue reviewed.,Payment Issue,Medium,Payments Team,Closed,2026-03-21,7,Closed after synthetic review; no real customer data used.
CASE-0158,Individual,Agent asks whether a letter was received and how to provide an attachment.,Missing Documents,Low,Customer Support,In Progress,2026-04-23,14,
CASE-0159,Charity,Urgent legal concern about suspicious changes to a submitted case.,Compliance/Fraud,High,Compliance Team,In Progress,2026-04-09,3,Escalated due to SLA risk and case complexity.
CASE-0160,Charity,Customer cannot find the upload link for requested evidence.,Missing Documents,Low,Customer Support,In Progress,2026-06-17,14,
CASE-0161,Agent,Possible duplicate claim submitted with suspicious supporting details.,Compliance/Fraud,High,Compliance Team,New,2026-05-06,3,Routed to specialist team for review.
CASE-0162,Charity,Customer provided documents but one attachment cannot be opened.,Missing Documents,Low,Customer Support,Closed,2026-03-19,14,Closed after synthetic review; no real customer data used.
CASE-0163,Public Body,Compliance review requested because the claim may contain a false declaration.,Compliance/Fraud,High,Compliance Team,Closed,2026-05-06,3,Closed after synthetic review; no real customer data used.
CASE-0164,Individual,Supporting evidence is incomplete and a required form is missing.,Missing Documents,Low,Customer Support,Closed,2026-05-20,14,Closed after synthetic review; no real customer data used.
CASE-0165,Charity,Supporting evidence is incomplete and a required form is missing.,Missing Documents,Low,Customer Support,In Progress,2026-03-10,14,Escalated due to SLA risk and case complexity.
CASE-0166,Individual,Payment issue: bank transfer reference was entered incorrectly.,Payment Issue,Medium,Payments Team,Escalated,2026-04-13,7,
CASE-0167,Small Business,Customer cannot find the upload link for requested evidence.,Missing Documents,Low,Customer Support,In Progress,2026-03-14,14,Initial checks completed; awaiting customer response.
CASE-0168,Public Body,Agent asks whether a letter was received and how to provide an attachment.,Missing Documents,Low,Customer Support,New,2026-03-20,14,
CASE-0169,Individual,Supporting evidence is incomplete and a required form is missing.,Missing Documents,Low,Customer Support,New,2026-04-20,14,
CASE-0170,Small Business,Missing document: customer needs to upload proof for a recent application.,Missing Documents,Low,Customer Support,In Progress,2026-03-30,14,Routed to specialist team for review.
CASE-0171,Individual,Customer cannot find the upload link for requested evidence.,Missing Documents,Low,Customer Support,Escalated,2026-04-09,14,Initial checks completed; awaiting customer response.
CASE-0172,Small Business,"Payment failed during online checkout, but the balance still appears due.",Payment Issue,Medium,Payments Team,New,2026-05-24,7,Closed after synthetic validation and customer notification.
CASE-0173,Public Body,General query about how to update account contact details.,General Query,Low,Customer Support,In Progress,2026-04-07,14,Initial checks completed; awaiting customer response.
CASE-0174,Public Body,Urgent legal concern about suspicious changes to a submitted case.,Compliance/Fraud,High,Compliance Team,In Progress,2026-05-17,3,Closed after synthetic validation and customer notification.
CASE-0175,Agent,Customer asks for guidance about a deadline and available support options.,General Query,Low,Customer Support,Escalated,2026-05-16,14,
CASE-0176,Agent,Supporting evidence is incomplete and a required form is missing.,Missing Documents,Low,Customer Support,New,2026-06-01,14,
CASE-0177,Small Business,Direct debit was declined and the customer needs the payment issue reviewed.,Payment Issue,Medium,Payments Team,In Progress,2026-03-27,7,Escalated due to SLA risk and case complexity.
CASE-0178,Public Body,Case is overdue and may involve a duplicate refund request.,Compliance/Fraud,High,Compliance Team,Escalated,2026-06-03,3,
CASE-0179,Small Business,Urgent legal concern about suspicious changes to a submitted case.,Compliance/Fraud,High,Compliance Team,In Progress,2026-04-15,3,
CASE-0180,Individual,General query about how to update account contact details.,General Query,Low,Customer Support,In Progress,2026-06-01,14,
CASE-0181,Public Body,General question about service hours and expected response times.,General Query,Low,Customer Support,New,2026-06-14,14,
CASE-0182,Charity,General query about how to update account contact details.,General Query,Low,Customer Support,Closed,2026-04-02,14,Closed after synthetic review; no real customer data used.
CASE-0183,Charity,Direct debit was declined and the customer needs the payment issue reviewed.,Payment Issue,Medium,Payments Team,New,2026-03-11,7,
CASE-0184,Agent,Customer cannot find the upload link for requested evidence.,Missing Documents,Low,Customer Support,In Progress,2026-05-05,14,
CASE-0185,Charity,Customer cannot find the upload link for requested evidence.,Missing Documents,Low,Customer Support,Closed,2026-06-16,14,Closed after synthetic review; no real customer data used.
CASE-0186,Individual,Customer cannot find the upload link for requested evidence.,Missing Documents,Low,Customer Support,In Progress,2026-06-21,14,Closed after synthetic validation and customer notification.
CASE-0187,Agent,Possible duplicate claim submitted with suspicious supporting details.,Compliance/Fraud,High,Compliance Team,Closed,2026-06-11,3,Closed after synthetic review; no real customer data used.
CASE-0188,Charity,"Payment failed during online checkout, but the balance still appears due.",Payment Issue,Medium,Payments Team,New,2026-05-30,7,Escalated due to SLA risk and case complexity.
CASE-0189,Small Business,Customer provided documents but one attachment cannot be opened.,Missing Documents,Low,Customer Support,Closed,2026-04-15,14,Closed after synthetic review; no real customer data used.
CASE-0190,Agent,Urgent legal concern about suspicious changes to a submitted case.,Compliance/Fraud,High,Compliance Team,In Progress,2026-05-13,3,Initial checks completed; awaiting customer response.
